Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
NetSTREIT,NTST,13-08-20,,,,20-08-20,,,,
Kubient,KBNT,12-08-20,,,,19-08-20,,,,
Checkmate Pharmaceuticals,CMPI,07-08-20,,,,14-08-20,,,,
Vistas Media Acquisition Company,VMAC,07-08-20,,,,14-08-20,,,,
Freeline Therapeutics Holdings,FRLN,07-08-20,,,,14-08-20,,,,
IBEX Limited,IBEX,07-08-20,,,,14-08-20,,,,
Rocket Companies,RKT,06-08-20,,,,13-08-20,,,,
Oak Street Health,OSH,06-08-20,,,,13-08-20,,,,
Acutus Medical,AFIB,06-08-20,,,,13-08-20,,,,
BigCommerce Holdings,BIGC,05-08-20,,,,12-08-20,,,,
GO Acquisition,GOAC,05-08-20,,,,12-08-20,,,,
Rackspace Technology,RXT,05-08-20,,,,12-08-20,,,,
Health Sciences Acquisitions Corp. 2,HSAQ,04-08-20,,,,11-08-20,,,,
Yucaipa Acquisition,YAC,04-08-20,,,,11-08-20,,,,
E.merge Technology Acquisition,ETAC,31-07-20,,,,07-08-20,,,,
CC Neuberger Principal Holdings II,PRPB,31-07-20,,,,07-08-20,,,,
Fathom Holdings,FTHM,31-07-20,,,,07-08-20,,,,
Vasta Platform,VSTA,31-07-20,,,,07-08-20,,,,
1847 Goedeker,GOED,31-07-20,,,,07-08-20,,,,
Vital Farms,VITL,31-07-20,,,,07-08-20,,,,
Li Auto,LI,30-07-20,,,,06-08-20,,,,
AlloVir,ALVR,30-07-20,,,,06-08-20,,,,
Vertex,VERX,29-07-20,,,,05-08-20,,,,
ACE Convergence Acquisition,ACEV,28-07-20,,,,04-08-20,,,,
Annexon,ANNX,24-07-20,,,,31-07-20,,,,
Greencity Acquisition,GRCY,24-07-20,,,,31-07-20,,,,
Nurix Therapeutics,NRIX,24-07-20,,,,31-07-20,,,,
iTeos Therapeutics,ITOS,24-07-20,,,,31-07-20,,,,
Inozyme Pharma,INZY,24-07-20,,,,31-07-20,,,,
Montrose Environmental Group,MEG,23-07-20,,,,30-07-20,,,,
East Resources Acquisition Co.,ERES,23-07-20,,,,30-07-20,,,,
Skillful Craftsman Education Technology,EDTK,23-07-20,,,,30-07-20,,,,
Jamf Holding,JAMF,22-07-20,,,,29-07-20,,,,
Pershing Square Tontine Holdings,PSTH,22-07-20,,,,29-07-20,,,,
Renalytix,RNLX,17-07-20,,,,24-07-20,,,,
Berkeley Lights,BLI,17-07-20,,,,24-07-20,,,,
ALX Oncology Holdings,ALXO,17-07-20,,,,24-07-20,,,,
Trean Insurance Group,TIG,16-07-20,,,,23-07-20,,,,
Relay Therapeutics,RLAY,16-07-20,,,,23-07-20,,,,
HPX Corp.,HPX,15-07-20,,,,22-07-20,,,,
Malacca Straits Acquisition Company,MLAC,15-07-20,,,,22-07-20,,,,
GoHealth,GOCO,15-07-20,,,,22-07-20,,,,
nCino,NCNO,14-07-20,,,,21-07-20,,,,
Inventiva,IVA,10-07-20,,,,17-07-20,,,,
Quhuo,QH,10-07-20,,,,17-07-20,,,,
Poseida Therapeutics,PSTX,10-07-20,,,,17-07-20,,,,
Nkarta,NKTX,10-07-20,,,,17-07-20,,,,
BlueCity Holdings,BLCT,08-07-20,,,,15-07-20,,,,
Capstar Special Purpose Acquisition,CPSR,02-07-20,,,,09-07-20,,,,
Accolade,ACCD,02-07-20,,,,09-07-20,,,,
Lemonade,LMND,02-07-20,,,,09-07-20,,,,
Dun &amp; Bradstreet Holdings,DNB,01-07-20,,,,08-07-20,,,,
Aditx,ADTX,30-06-20,,,,07-07-20,,,,
Agora,API,26-06-20,,,,03-07-20,,,,
Fusion Pharmaceuticals,FUSN,26-06-20,,,,03-07-20,,,,
Albertsons Companies,ACI,26-06-20,,,,03-07-20,,,,
Ebang International Holdings,EBON,26-06-20,,,,03-07-20,,,,
Akouos,AKUS,26-06-20,,,,03-07-20,,,,
PolyPid,PYPD,26-06-20,,,,03-07-20,,,,
Brilliant Acquisition,BRLI,24-06-20,,,,01-07-20,,,,
Repare Therapeutics,RPTX,19-06-20,,,,26-06-20,,,,
Genetron Holdings,GTH,19-06-20,,,,26-06-20,,,,
Forma Therapeutics Holdings,FMTX,19-06-20,,,,26-06-20,,,,
NuZee,NUZE,19-06-20,,,,26-06-20,,,,
Progenity,PROG,19-06-20,,,,26-06-20,,,,
Trebia Acquisition,TREB,17-06-20,,,,24-06-20,,,,
Royalty Pharma,RPRX,16-06-20,,,,23-06-20,,,,
Avidity Biosciences,RNA,12-06-20,,,,19-06-20,,,,
Vaxcyte,PCVX,12-06-20,,,,19-06-20,,,,
Generation Bio Co.,GBIO,12-06-20,,,,19-06-20,,,,
Burning Rock Biotech,BNR,12-06-20,,,,19-06-20,,,,
The AZEK Company,AZEK,12-06-20,,,,19-06-20,,,,
Lantern Pharma,LTRN,11-06-20,,,,18-06-20,,,,
uCloudlink Group,UCL,10-06-20,,,,17-06-20,,,,
Vroom,VRM,09-06-20,,,,16-06-20,,,,
Shift4 Payments,FOUR,05-06-20,,,,12-06-20,,,,
Legend Biotech,LEGN,05-06-20,,,,12-06-20,,,,
Calliditas Therapeutics AB,CALT,05-06-20,,,,12-06-20,,,,
Dada Nexus,DADA,05-06-20,,,,12-06-20,,,,
Applied Molecular Transport,AMTI,05-06-20,,,,12-06-20,,,,
ZoomInfo Technologies,ZI,04-06-20,,,,11-06-20,,,,
Warner Music Group,WMG,03-06-20,,,,10-06-20,,,,
Pliant Therapeutics,PLRX,03-06-20,,,,10-06-20,,,,
Inari Medical,NARI,22-05-20,,,,29-05-20,,,,
SelectQuote,SLQT,21-05-20,,,,28-05-20,,,,
ADC Therapeutics,ADCT,15-05-20,,,,22-05-20,,,,
Ayala Pharmaceuticals,AYLA,08-05-20,,,,15-05-20,,,,
China Liberal Education Holdings,CLEU,08-05-20,,,,15-05-20,,,,
Kingsoft Cloud Holdings,KC,08-05-20,,,,15-05-20,,,,
GAN Limited,GAN,05-05-20,,,,12-05-20,,,,
Lyra Therapeutics,LYRA,01-05-20,,,,08-05-20,,,,
Oric Pharmaceuticals,ORIC,24-04-20,,,,01-05-20,,,,
Keros Therapeutics,KROS,08-04-20,,,,15-04-20,,,,
Zentalis Pharmaceuticals,ZNTL,03-04-20,,,,10-04-20,,,,
WiMi Hologram Cloud,WIMI,01-04-20,,,,08-04-20,,,,
IMARA,IMRA,12-03-20,,,,19-03-20,,,,
GFL Environmental,GFL,03-03-20,,,,10-03-20,,,,
Passage Bio,PASG,28-02-20,,,,06-03-20,,,,
Zhongchao,ZCMD,24-02-20,,,,02-03-20,,,,
East Stone Acquisition,ESSC,20-02-20,,,,27-02-20,,,,
Muscle Maker,GRIL,13-02-20,,,,20-02-20,,,,
Revolution Medicines,RVMD,13-02-20,,,,20-02-20,,,,
Yunhong International,ZGYH,13-02-20,,,,20-02-20,,,,
TRxADE HEALTH,MEDS,13-02-20,,,,20-02-20,,,,
Huize Holding,HUIZ,12-02-20,,,,19-02-20,,,,
Greenrose Acquisition,GNRS,11-02-20,,,,18-02-20,,,,
CITIC Capital Acquisition,CCAC,11-02-20,,,,18-02-20,,,,
OneWater Marine,ONEW,07-02-20,,,,14-02-20,,,,
Professional Holding,PFHD,07-02-20,,,,14-02-20,,,,
NexPoint Real Estate Finance,NREF,07-02-20,,,,14-02-20,,,,
Beam Therapeutics,BEAM,06-02-20,,,,13-02-20,,,,
"PPD, Inc.",PPD,06-02-20,,,,13-02-20,,,,
Schrodinger,SDGR,06-02-20,,,,13-02-20,,,,
Casper Sleep,CSPR,06-02-20,,,,13-02-20,,,,
1Life Healthcare,ONEM,31-01-20,,,,07-02-20,,,,
Reynolds Consumer Products,REYN,31-01-20,,,,07-02-20,,,,
Arcutis Biotherapeutics,ARQT,31-01-20,,,,07-02-20,,,,
Black Diamond Therapeutics,BDTX,30-01-20,,,,06-02-20,,,,
AnPac Bio-Medical Science Co.,ANPC,30-01-20,,,,06-02-20,,,,
Annovis Bio,ANVS,29-01-20,,,,05-02-20,,,,
SCVX Corp.,SCVX,24-01-20,,,,31-01-20,,,,
Lizhi,LIZI,17-01-20,,,,24-01-20,,,,
Velocity Financial,VEL,17-01-20,,,,24-01-20,,,,
I-Mab,IMAB,17-01-20,,,,24-01-20,,,,
,,,,,,,,,,
,,,,,,,,,,
,I-MAB (XNAS:IMAB),17-01-20,,,,24-01-20,,,,
