Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
Tricon Residential,TCN,07-10-21,,,,14-10-21,,,,
Theseus Pharmaceuticals,THRX,07-10-21,,,,14-10-21,,,,
IX Acquisition,IXAQ,07-10-21,,,,14-10-21,,,,
Life Time Group Holdings,LTH,07-10-21,,,,14-10-21,,,,
Nuvei,NVEI,06-10-21,,,,13-10-21,,,,
Avalon Acquisition,AVAC,06-10-21,,,,13-10-21,,,,
Volcon,VLCN,06-10-21,,,,13-10-21,,,,
Phoenix Biotech Acquisition,PBAX,06-10-21,,,,13-10-21,,,,
Parsec Capital Acquisitions,PCX,06-10-21,,,,13-10-21,,,,
Enphys Acquisition,NFYS,06-10-21,,,,13-10-21,,,,
CĪON Investment,CION,05-10-21,,,,12-10-21,,,,
Crixus BH3 Acquisition,BHAC,05-10-21,,,,12-10-21,,,,
Mount Rainier Acquisition,RNER,05-10-21,,,,12-10-21,,,,
Exscientia,EXAI,01-10-21,,,,08-10-21,,,,
Pyxis Oncology,PYXS,01-10-21,,,,08-10-21,,,,
Monterey Bio Acquisition,MTRY,01-10-21,,,,08-10-21,,,,
"TDCX, Inc.",TDCX,01-10-21,,,,08-10-21,,,,
Sylvamo,SLVM,01-10-21,,,,08-10-21,,,,
First Watch Restaurant Group,FWRG,01-10-21,,,,08-10-21,,,,
Marblegate Acquisition,GATE,01-10-21,,,,08-10-21,,,,
"dMY Technology Group, Inc. VI",DMYS,01-10-21,,,,08-10-21,,,,
Olaplex Holdings,OLPX,30-09-21,,,,07-10-21,,,,
Artemis Strategic Investment,ARTE,30-09-21,,,,07-10-21,,,,
Home Plate Acquisition,HPLT,30-09-21,,,,07-10-21,,,,
MELI Kaszek Pioneer,MEKA,29-09-21,,,,06-10-21,,,,
Hennessy Capital Investment VI,HCVI,29-09-21,,,,06-10-21,,,,
Warby Parker,WRBY,29-09-21,,,,06-10-21,,,,
Berenson Acquisition I,BACA,28-09-21,,,,05-10-21,,,,
Amplitude,AMPL,28-09-21,,,,05-10-21,,,,
Parabellum Acquisition,PRBM,28-09-21,,,,05-10-21,,,,
Direct Selling Acquisition,DSAQ,24-09-21,,,,01-10-21,,,,
Cue Health,HLTH,24-09-21,,,,01-10-21,,,,
Clearwater Analytics Holdings,CWAN,24-09-21,,,,01-10-21,,,,
GigCapital5,GIA,24-09-21,,,,01-10-21,,,,
Remitly Global,RELY,23-09-21,,,,30-09-21,,,,
EngageSmart,ESMT,23-09-21,,,,30-09-21,,,,
Sovos Brands,SOVO,23-09-21,,,,30-09-21,,,,
Live Oak Crestview Climate Acquisition,LOCC,23-09-21,,,,30-09-21,,,,
Argo Blockchain,ARBK,23-09-21,,,,30-09-21,,,,
Sterling Check,STER,23-09-21,,,,30-09-21,,,,
Thorne HealthTech,THRN,23-09-21,,,,30-09-21,,,,
Brilliant Earth Group,BRLT,23-09-21,,,,30-09-21,,,,
a.k.a. Brands Holding,AKA,22-09-21,,,,29-09-21,,,,
Inflection Point Acquisition,IPAX,22-09-21,,,,29-09-21,,,,
Argus Capital,ARGU,22-09-21,,,,29-09-21,,,,
VersaBank,VBNK,22-09-21,,,,29-09-21,,,,
Toast,TOST,22-09-21,,,,29-09-21,,,,
Freshworks,FRSH,22-09-21,,,,29-09-21,,,,
HHG Capital,HHGC,21-09-21,,,,28-09-21,,,,
Soar Technology Acquisition,FLYA,16-09-21,,,,23-09-21,,,,
Enact Holdings,ACT,16-09-21,,,,23-09-21,,,,
ForgeRock,FORG,16-09-21,,,,23-09-21,,,,
CIIG Capital Partners II,CIIG,15-09-21,,,,22-09-21,,,,
Thoughtworks Holding,TWKS,15-09-21,,,,22-09-21,,,,
Sierra Lake Acquisition,SIER,15-09-21,,,,22-09-21,,,,
Definitive Healthcare,DH,15-09-21,,,,22-09-21,,,,
Aesther Healthcare Acquisition,AEHA,15-09-21,,,,22-09-21,,,,
Pasithea Therapeutics,KTTA,15-09-21,,,,22-09-21,,,,
DICE Therapeutics,DICE,15-09-21,,,,22-09-21,,,,
Tyra Biosciences,TYRA,15-09-21,,,,22-09-21,,,,
WinVest Acquisition,WINV,15-09-21,,,,22-09-21,,,,
Endurance Acquisition,EDNC,15-09-21,,,,22-09-21,,,,
PROCEPT BioRobotics,PRCT,15-09-21,,,,22-09-21,,,,
EzFill Holdings,EZFL,15-09-21,,,,22-09-21,,,,
On Holding AG,ONON,15-09-21,,,,22-09-21,,,,
Dutch Bros,BROS,15-09-21,,,,22-09-21,,,,
Pacifico Acquisition,PAFO,14-09-21,,,,21-09-21,,,,
Sportradar Group AG,SRAD,14-09-21,,,,21-09-21,,,,
Sigma Lithium,SGML,13-09-21,,,,20-09-21,,,,
SilverSPAC,SLVR,10-09-21,,,,17-09-21,,,,
Bannix Acquisition,BNIX,10-09-21,,,,17-09-21,,,,
Future Health ESG,FHLT,10-09-21,,,,17-09-21,,,,
First Light Acquisition Group,FLAG,10-09-21,,,,17-09-21,,,,
Banner Acquisition,BNNR,08-09-21,,,,15-09-21,,,,
