,Symbol,tweetCount,replyCount,retweetCount,likeCount,quoteCount,weightedSentiment,unweightedSentiment
180,VEL,63,1.0,2.492063492063492,7.126984126984127,0.4444444444444444,-0.5161123385939742,0.2496825396825397
181,LIZI,821,0.3861144945188794,0.22655298416565164,1.0389768574908649,0.02192448233861145,0.36312765647743817,0.2189263093788063
182,DNK,23,0.0,0.08695652173913043,0.2608695652173913,0.0,0.074,0.018747826086956524
183,IMAB,124,0.0967741935483871,0.3709677419354839,2.161290322580645,0.04032258064516129,-0.002340181268882171,0.020235483870967734
184,ANVS,13,0.0,0.3076923076923077,1.0,0.23076923076923078,-0.0037999999999999813,0.08473076923076925
185,ANPC,1,0.0,0.0,0.0,0.0,0.0,0.0
186,BDTX,21,0.0,0.19047619047619047,0.6190476190476191,0.0,0.42951764705882356,0.4062809523809523
187,ONEM,23,0.0,0.08695652173913043,0.17391304347826086,0.043478260869565216,0.2502857142857143,0.08635217391304348
188,REYN,53,0.018867924528301886,0.1320754716981132,0.37735849056603776,0.05660377358490566,0.2552290322580645,0.17410943396226417
189,ARQT,21,0.42857142857142855,0.19047619047619047,1.1904761904761905,0.047619047619047616,0.015179487179487179,0.1641238095238095
190,SDGR,1000,0.357,0.389,3.276,0.05,-0.016892804518664047,0.0121991
191,BEAM,1000,0.405,0.888,3.911,0.044,0.03585398246951222,0.1398967
192,CSPR,239,0.3472803347280335,0.1589958158995816,1.6652719665271967,0.029288702928870293,-0.2129855513307985,0.12846610878661088
193,PPD,1000,0.702,3.106,7.883,0.239,-0.270241743503772,-0.0409812
194,NREF,15,0.0,0.0,0.0,0.0,0.04816,0.04816
195,PFHD,447,0.7002237136465325,1.3310961968680088,6.41834451901566,0.19015659955257272,0.3474588814085966,0.112165548098434
196,ONEW,6,0.0,0.16666666666666666,0.0,0.0,0.296,0.296
197,HUIZ,11,0.18181818181818182,0.0,0.0,0.0,0.17279999999999998,0.017181818181818177
198,RVMD,68,0.1323529411764706,0.5882352941176471,1.2352941176470589,0.058823529411764705,0.02432262773722628,0.10499264705882354
199,MEDS,2,0.0,0.0,2.0,0.5,0.8439,0.61355
200,GRIL,51,0.21568627450980393,0.7254901960784313,1.3137254901960784,0.0196078431372549,0.5963301724137932,0.3617117647058824
201,ZCMD,20,0.05,0.15,0.3,0.05,0.21972727272727274,0.20921499999999998
202,PASG,61,0.13114754098360656,0.39344262295081966,0.7377049180327869,0.06557377049180328,0.36837037037037035,0.24680983606557372
203,GFL,1000,0.489,0.282,2.379,0.033,0.30719286836317944,0.17065619999999998
204,IMRA,1000,0.421,0.307,2.3,0.073,0.1969587874879071,0.10558110000000001
205,WIMI,0,,,,,,
206,ZNTL,1,0.0,1.0,0.0,0.0,0.0,0.0
207,KROS,9,0.0,0.1111111111111111,0.1111111111111111,0.0,-0.0772,-0.10288888888888888
208,ORIC,239,0.401673640167364,0.7615062761506276,2.6276150627615062,0.03347280334728033,0.434222647702407,0.12401757322175733
209,LYRA,1000,0.553,1.0,8.324,0.061,0.3105436003219963,0.1960094
210,GAN,1000,0.613,0.692,3.073,0.132,0.038360421286031045,0.024795499999999998
211,KC,13,0.0,0.07692307692307693,0.07692307692307693,0.0,-0.1783,-0.07312307692307692
212,AYLA,16,0.0,0.0625,0.125,0.0,0.0,0.004168749999999999
213,CLEU,1,2.0,2.0,16.0,0.0,0.40190000000000003,0.4019
214,GIK,362,0.4613259668508287,0.5718232044198895,2.7569060773480665,0.049723756906077346,0.1593584892086331,0.11197569060773481
215,ADCT,57,0.05263157894736842,0.07017543859649122,0.47368421052631576,0.05263157894736842,0.1809108108108108,0.1305578947368421
216,SLQT,108,0.19444444444444445,0.25,0.7777777777777778,0.009259259259259259,0.2482834586466165,0.17205277777777775
217,NARI,24,0.041666666666666664,0.375,1.25,0.0,0.2795625,0.11688333333333334
218,WMG,288,0.15625,1.4513888888888888,4.46875,0.1875,-0.28046003325942354,0.06890104166666668
219,PLRX,12,0.08333333333333333,0.3333333333333333,0.5,0.0,0.0,-0.018858333333333335
220,ZI,0,,,,,,
221,FOUR,14,0.0,0.6428571428571429,0.5,0.07142857142857142,0.6245058823529411,0.4903071428571428
222,LEGN,9,0.0,1.1111111111111112,1.8888888888888888,0.2222222222222222,0.2826206896551724,0.34448888888888896
223,AMTI,0,,,,,,
224,CALT,0,,,,,,
225,DADA,1000,0.685,1.525,11.918,0.155,0.5201643142197018,0.19550030000000002
226,VRM,1000,0.676,2.352,10.805,0.22,0.3433003557959155,0.10331520000000001
227,UCL,8,0.0,0.0,0.0,0.0,0.0,0.0
228,LTRN,20,0.0,0.0,0.0,0.0,0.186505,0.186505
229,RNA,27,0.0,0.0,0.07407407407407407,0.0,0.8481,0.8536333333333331
230,BNR,17,0.0,0.0,0.0,0.0,0.1394529411764706,0.1394529411764706
231,GBIO,22,0.0,0.045454545454545456,0.045454545454545456,0.0,-0.07655,0.03984090909090909
232,PCVX,43,0.5116279069767442,0.20930232558139536,1.744186046511628,0.0,0.4651971698113207,0.0810046511627907
233,AZEK,58,0.1206896551724138,0.1206896551724138,0.6379310344827587,0.017241379310344827,0.1878019230769231,0.16616724137931035
234,RPRX,157,0.2229299363057325,0.4394904458598726,1.7197452229299364,0.08917197452229299,0.26640953608247425,0.2024458598726115
235,FMTX,14,0.0,0.6428571428571429,1.1428571428571428,0.07142857142857142,0.3041384615384616,0.15540714285714285
236,PROG,1000,0.598,0.718,4.395,0.075,0.2793663152436917,0.16924889999999998
237,GTH,20,0.2,0.2,1.2,0.05,-0.01542727272727272,0.02924000000000001
238,NUZE,32,0.15625,0.03125,0.3125,0.0,-0.16460624999999998,-0.061759375000000005
239,RPTX,39,0.07692307692307693,0.41025641025641024,1.1538461538461537,0.05128205128205128,0.05498787878787878,0.06886153846153846
240,PYPD,94,0.2978723404255319,0.10638297872340426,0.4574468085106383,0.02127659574468085,0.06370602409638555,0.06688723404255319
241,EBON,16,0.125,0.0625,0.75,0.125,0.3027705882352941,0.11651874999999999
242,FUSE,170,0.6470588235294118,0.45294117647058824,3.1,0.052941176470588235,0.14276791147994472,0.16438117647058825
243,AKUS,163,0.3128834355828221,0.17177914110429449,0.9754601226993865,0.024539877300613498,0.19040702479338842,0.16961901840490798
244,API,1000,0.489,1.304,4.642,0.132,0.32142131871478596,0.1772625
245,FUSN,50,0.04,0.6,1.16,0.02,0.07132527472527472,0.08831199999999999
246,ACI,129,0.4496124031007752,0.8837209302325582,3.3255813953488373,0.20930232558139536,0.4410573248407643,0.21569302325581394
247,ADTX,8,0.125,0.0,0.0,0.0,0.0,0.097975
248,DNB,1,0.0,0.0,0.0,0.0,0.34,0.34
249,ACCD,1000,0.528,0.959,4.839,0.111,0.3139480503340065,0.35327390000000003
250,LMND,1000,0.438,0.468,15.335,0.088,-0.4824139322677444,0.1697705
251,BLCT,15,0.13333333333333333,0.0,0.13333333333333333,0.0,0.802,0.15975999999999999
252,PSTX,20,0.0,0.0,0.0,0.0,0.046665,0.046665
253,IVA,1000,0.431,0.725,2.214,0.038,0.20673931924882627,0.19358110000000003
254,QH,1000,0.357,0.31,2.017,0.027,0.2432550350424198,0.14584450000000002
255,NKTX,37,0.2702702702702703,0.7297297297297297,1.3513513513513513,0.13513513513513514,-0.012708695652173889,0.1489027027027027
256,PTK,551,0.37749546279491836,0.2831215970961887,2.288566243194192,0.030852994555353903,0.06350207064555419,0.13805226860254083
257,NCNO,564,0.25354609929078015,0.4946808510638298,2.778368794326241,0.07092198581560284,0.38664553967471665,0.20751755319148935
258,DEH,5,0.0,0.0,0.0,0.0,-0.7125,-0.7125
259,GOCO,268,0.11940298507462686,0.19776119402985073,0.6380597014925373,0.029850746268656716,0.24680757575757578,0.15332014925373133
260,RLAY,63,0.07936507936507936,0.5873015873015873,1.1904761904761905,0.06349206349206349,0.0939404958677686,0.12953650793650795
261,TIG,15,0.2,0.13333333333333333,1.2,0.0,0.23484782608695653,0.08340666666666667
262,ALXO,13,0.3076923076923077,1.0769230769230769,5.3076923076923075,0.15384615384615385,0.4119966292134831,0.1964846153846154
263,RNLX,48,0.4166666666666667,0.4791666666666667,2.625,0.020833333333333332,0.14363411764705883,0.14450833333333335
264,BLI,95,0.09473684210526316,0.25263157894736843,1.1578947368421053,0.0,0.18359510489510486,0.02368421052631578
265,JAMF,581,0.19965576592082615,0.31497418244406195,1.3166953528399312,0.043029259896729774,0.2459675849403122,0.1506839931153184
266,EDTK,6,0.0,0.5,2.5,0.16666666666666666,0.0,0.09866666666666667
267,MEG,26,0.038461538461538464,0.2692307692307692,1.0769230769230769,0.0,0.07566388888888888,0.06017692307692308
268,ANNX,354,0.384180790960452,0.11016949152542373,1.1412429378531073,0.031073446327683617,0.07569406779661016,0.057677118644067785
269,INZY,52,0.019230769230769232,0.09615384615384616,0.40384615384615385,0.0,0.21855555555555556,0.13243846153846156
270,ITOS,19,0.05263157894736842,0.5789473684210527,1.263157894736842,0.0,0.15616388888888888,0.06011052631578948
271,NRIX,42,0.0,0.2619047619047619,0.5952380952380952,0.0,0.11346388888888888,0.13871666666666668
272,VERX,1000,0.549,2.674,11.979,0.125,-0.3523908853656945,0.1524329
273,ALVR,104,0.14423076923076922,0.3942307692307692,2.076923076923077,0.0673076923076923,0.4876222222222222,0.06221153846153847
274,LI,1000,0.514,0.445,3.229,0.088,0.17104665575304023,0.1273113
275,GOED,12,0.0,0.08333333333333333,0.08333333333333333,0.0,0.1901,0.0642
276,FTHM,22,0.0,0.09090909090909091,0.36363636363636365,0.0,0.12682,0.07591363636363636
277,VSTA,23,0.5217391304347826,1.608695652173913,13.217391304347826,0.2608695652173913,-0.16922506963788303,0.018582608695652182
278,VITL,97,0.4536082474226804,0.9175257731958762,3.1030927835051547,0.3917525773195876,0.36227754237288134,0.4342113402061855
279,HSAQ,0,,,,,,
